Andreas Maier	3.57	505	41
Steven Jay Gould	0.0	0	0
William Somerset Maugham	4.0	8	1
Fruttero Lucentini	3.93	7587	651
Oswald de Andrade	3.75	1104	66
Elfriede Jelinek	3.53	15762	1510
Pierre Michon	3.74	1501	191
Gabriela Garcia Marquez	4.0	1	0
Andreas Maier	3.57	505	41
Allen Eskens	4.0	116977	13514
Maarten Hart	3.46	9635	605
Gorky	3.89	39024	2824
DINAW MENGESTU	3.59	14444	2162
Steven Jay Gould	4.04	68717	2724
William Somerset Maugham	4.67	3	0
Neal Stephenson	4.04	824879	51637
Genazino	3.73	2559	283
Robert Pfaller	3.93	203	14
Perec	3.98	28046	2508
Peter Krassa	3.49	145	4
Guido Gozzano	3.9	359	35
Paul Nizan	3.73	366	40
Geoffrey of Monmouth	3.73	5921	277
Michael Ebmeyer	2.89	45	3
Hugo Ball	3.81	340	32
Jean Cocteau	3.81	13665	873
Sean Carabini	4.0	12	5
Whitman	4.13	134632	4871
Richard Sennett	3.92	5670	477
Matias Faldbakken	3.57	3466	362
Vs Naipaul	3.71	66739	5051
Edith Wharton	3.78	426125	25223
H.C. Andersen	3.33	6	2
Judith Hermann	3.56	3838	366
Vibeke Olsson	3.86	1277	65
Emmy Von Rhoden	3.76	1355	36
August Stramm	4.02	48	3
Boccaccio	3.85	37500	1772
John Galsworthy	4.11	33705	2021
Osamu Dazai	4.05	38635	3678
Luis Fernando Veríssimo	3.79	15123	607
Gopnik	3.85	26788	3106
Clemens J. Setz	3.6	985	115
Friedrich Hebbel	3.14	669	27
Alfred Polgar	3.86	93	11
Hans Christian Anderson	3.83	41	5
Lavey	3.51	16493	1159
Sólveig Jónsdóttir	3.46	324	44
Pascal Bruckner	3.73	10258	540
Liv Ullmann	3.88	1366	242
Dany Laferrière	3.78	6223	534
Pere Calders	3.87	1200	84
F. Scott Fitzgerald	3.91	4168920	90477
Victoria Rhodes	3.8	138	7
Mao Tse Dung	3.66	161	16
Gonzalo Torné	3.41	565	72
Jacques Lacan	4.04	8037	368
Julianna Baggott	3.78	50003	6485
R A Lafferty	4.0	1	0
Helge Schneider	3.48	779	31
J.P. Donleavy	3.7	15320	962
Drew Karpyshyn	4.06	98637	4931
John Steinbeck	3.94	3771924	106867
Fernando Savater	3.66	11539	839
Severo Sarduy	3.83	551	80
Uwe Johnson	3.84	884	99
Jerome K Jerome	3.88	74366	6253
Arthur Camus	4.28	18	1
Andrea Camilleri	3.91	141341	11648
Pasternak	4.01	87236	3495
Natsuo Kirino	3.79	46902	4728
Guillermo Fadanelli	3.64	2103	251
Paul Celan	4.33	7293	470
Umberto Eco	3.96	564512	23813
H G Wells	3.83	1064120	38308
Gavin Lambert	3.83	882	97
James Hillman	4.13	15590	794
Kerstin Ekman	3.65	6315	556
Lev Manovich	3.87	1217	41
Georg Wilhelm Friedrich Hegel	3.91	28138	959
Hiro Arikawa	4.25	55885	6979
Jacques Salome	3.7	1477	105
Joan Didion	3.93	285612	22697
Ernst Junger	4.06	15114	1240
Bill Clegg	3.79	31659	4647
Patrick Bahners	3.45	22	0
A.A. Milne	4.34	549097	11949
Audre Lorde	4.41	48601	3248
Joseph Mitchell	4.25	6443	647
De Berniere	3.97	122099	7231
James Jones	4.04	30122	974
Jodorowsky	3.92	42142	3308
Benjamin Marx	4.5	2	0
Hoeg	4.78	9	4
Heinrich Harrer	4.08	22673	1235
Vaclav Kahuda	3.6	159	24
David foster-wallace	4.13	299451	28057
Tim Findley	3.87	31540	1551
Amado Nervo	3.95	1054	112
J M Barrie	3.0	1	0
Paul Coehlo	4.07	15	6
Antonis Samarakis	4.25	4784	226
J.M.G. Le Clezio	3.66	15560	1782
Ha-Joon Chang	4.08	19224	1778
Margaret Atwood	4.03	2797974	176052
J. R. Lennon	3.5	2	0
Michael Parker	3.3	2594	552
Ruth Randel	3.83	41	0
Lu Yao	3.86	1825	184
Djion	0.0	0	0
Iceberg Slim	4.02	13126	996
Robert Schneider	3.76	3351	147
Robert Olmstead	3.75	4644	801
Hape Kerkeling	3.99	6822	534
Yeats	4.15	77020	2932
George Eliott	3.0	6	0
Ken Smith	3.99	814	96
Salvador Espriu	3.6	654	32
Joe Bauer	3.6	111	20
Sarah bakewell	4.13	17653	2245
Klaus Rifbjerg	3.48	2107	100
Ivan Efremov	4.01	2926	152
Sigrid Undset	4.17	25095	3007
Dennis Cooper	3.58	19523	1347
Robert Burton	4.01	1707	191
Franz Dobler	3.43	90	12
Christine Lavant	3.7	280	31
Phil Hogan	3.51	3523	666
Aleksey Ivanov	3.99	6879	687
Diana Holman-Hunt	3.85	61	17
Slavko Janevski	4.08	48	4
Ben Marcus	4.07	84457	3555
Jpseph Roth	3.89	25561	2545
Michel Butor	3.58	2347	180
Jaime Sabines	4.42	4260	330
Graham Greene	3.87	312174	22419
Trevor Ferguson	3.75	182	40
Erin Gruwell	4.13	16260	1842
Malcolm Lowry	3.79	23961	1581
Ma Jian	3.73	7169	960
Garth Greenwell	3.8	12941	1883
Piero Chiara	3.74	7096	446
Duncker	3.73	4161	481
Alphonse De Lamartine	3.71	982	91
Flannery Oconner	4.16	165279	11556
Wilhelm Busch	3.87	5939	218
James Worthy	3.37	1335	77
W S Merwin	4.33	3	0
Mario de Andrade	3.71	5861	235
Federico Moccia	3.34	42928	2437
Christina Koning	3.99	67	19
Eliot Weinberger	4.31	13607	887
Charles Jackson	4.01	1174	141
Katherine Neville	3.74	53907	4255
Jerome Klapka Jerome	4.67	6	0
Simon West-Bulford	4.29	220	52
Hans Faverey	3.97	104	12
Antonio Di Benedetto	3.97	2818	383
Ben Okri	3.69	17560	1543
Eça de Queiroz	2.91	34	3
D. E. Stevenson	4.07	34252	4505
Honore Balzac	3.8	143645	8445
Joana Chmielewska	3.79	23934	282
David Mitchell	3.94	553036	56955
Stefan Zweig	4.14	265982	23176
Per Pettersson	3.5	2	0
Dominick Dunne	3.69	21245	2135
Elliot	4.21	364375	14528
Mireille Calmel	3.81	3086	190
Juan Gabriel Vásquez	3.77	21098	2583
Tom Pickard	4.28	125	7
Ismail Kadare	3.84	28602	2878
Mike Wilson	3.67	954	85
Anne-Laure Bondoux	3.79	7971	1119
Kristof Magnusson	3.67	796	97
Jim Morrison	3.98	11125	428
Tom Robbins	3.97	351098	15245
Pete Hamill	3.86	35240	4423
Mccarthy	4.01	1215828	80357
Thorne Smith	3.77	2597	335
Sigfried Lenz	3.81	7271	595
Thomas Wolf	3.96	24227	2016
Pieter Waterdrinker	3.58	1713	230
Aila Meriluoto	3.56	634	48
Ildiko Von Kürtny	3.46	4335	239
Siegfried Lenz	3.81	7271	595
Jean Racine	3.72	27021	803
Howard Marks	4.26	10529	654
Hans Bemann	0.0	0	0
Jonathan Littell	4.0	9612	1214
Juan Bas	3.51	203	21
William Diehl	4.03	15359	762
Victor Serge	4.13	3323	380
Gert Jonke	3.81	311	46
Alan Hollinghurst	3.63	51471	4379
Franz Kafka	3.89	1189946	40635
Francis Ponge	3.9	1440	117
Emma Mills	4.02	34096	7337
Lucia berlin	4.17	24229	3405
Heimito Von Doderer	4.19	1087	90
Carlos Luiz Zafon	4.14	803352	65780
Jan Weiler	3.71	3883	267
Cesar Vidal	3.52	2162	179
A.L. Kennedy	3.63	9606	1669
Smith, Zadie	3.68	349505	27736
Sinan Meydan	4.39	992	82
Wolfgang Jeschke	3.61	1001	118
